tag,action_scale,cpg_speed,cpg_amp,cpg_mix,action_smooth,distance,quick_gif
a16_s100_amp10_m5_sm60,1.6,1.0,1.0,0.05,0.6,2.971,ant_full_quick_a16_s100_amp10_m5_sm60.gif
a16_s100_amp10_m5_sm75,1.6,1.0,1.0,0.05,0.75,2.41,ant_full_quick_a16_s100_amp10_m5_sm75.gif
a16_s100_amp10_m5_sm85,1.6,1.0,1.0,0.05,0.85,2.223,ant_full_quick_a16_s100_amp10_m5_sm85.gif
a16_s100_amp10_m10_sm60,1.6,1.0,1.0,0.1,0.6,1.383,ant_full_quick_a16_s100_amp10_m10_sm60.gif
a16_s100_amp10_m10_sm75,1.6,1.0,1.0,0.1,0.75,1.721,ant_full_quick_a16_s100_amp10_m10_sm75.gif
a16_s100_amp10_m10_sm85,1.6,1.0,1.0,0.1,0.85,1.796,ant_full_quick_a16_s100_amp10_m10_sm85.gif
a16_s125_amp10_m0_sm60,1.6,1.25,1.0,0.0,0.6,0.024,ant_full_quick_a16_s125_amp10_m0_sm60.gif
a16_s125_amp10_m0_sm75,1.6,1.25,1.0,0.0,0.75,-0.027,ant_full_quick_a16_s125_amp10_m0_sm75.gif
a16_s125_amp10_m0_sm85,1.6,1.25,1.0,0.0,0.85,0.079,ant_full_quick_a16_s125_amp10_m0_sm85.gif
a16_s125_amp10_m5_sm60,1.6,1.25,1.0,0.05,0.6,0.272,ant_full_quick_a16_s125_amp10_m5_sm60.gif
a16_s125_amp10_m5_sm75,1.6,1.25,1.0,0.05,0.75,0.105,ant_full_quick_a16_s125_amp10_m5_sm75.gif
a16_s125_amp10_m5_sm85,1.6,1.25,1.0,0.05,0.85,0.02,ant_full_quick_a16_s125_amp10_m5_sm85.gif
a16_s125_amp10_m10_sm60,1.6,1.25,1.0,0.1,0.6,0.228,ant_full_quick_a16_s125_amp10_m10_sm60.gif
a16_s125_amp10_m10_sm75,1.6,1.25,1.0,0.1,0.75,0.115,ant_full_quick_a16_s125_amp10_m10_sm75.gif
a16_s125_amp10_m10_sm85,1.6,1.25,1.0,0.1,0.85,-0.131,ant_full_quick_a16_s125_amp10_m10_sm85.gif
