friction,episode,policy,reward,forward_distance,steps
0.5,1,multifunctional_rc_ae,-86.81399913403862,0.16855238575291456,500
0.5,1,cpg,67.46013263667282,0.42166139868589053,500
0.5,2,multifunctional_rc_ae,-65.57244712821603,-0.28322584659402605,500
0.5,2,cpg,60.48069969964204,0.0729268445012543,500
0.5,3,multifunctional_rc_ae,-15.265623843875687,-0.16730672180563677,500
0.5,3,cpg,67.2786676425909,0.4139817707593798,500
0.5,4,multifunctional_rc_ae,-64.76184057190906,-0.26594004061858545,500
0.5,4,cpg,55.794647350629816,-0.16193024421256036,500
0.5,5,multifunctional_rc_ae,-41.406997901927966,-0.17171779963475603,500
0.5,5,cpg,61.33842148271085,0.11490683885633854,500
0.5,6,multifunctional_rc_ae,-103.67299924845561,-0.11690692723119867,500
0.5,6,cpg,60.96758350807051,0.09829985845730424,500
0.5,7,multifunctional_rc_ae,211.5409364861651,0.03813949497548169,500
0.5,7,cpg,59.792665208875924,0.03714753239384325,500
0.5,8,multifunctional_rc_ae,134.35302174080837,-0.27846277307183603,500
0.5,8,cpg,58.794643485855936,-0.010786787498128551,500
0.5,9,multifunctional_rc_ae,-245.8621620055521,-0.11297641538228617,500
0.5,9,cpg,64.58340744397711,0.2766939446934875,500
0.5,10,multifunctional_rc_ae,-48.02187017868075,-0.15575543685542909,500
0.5,10,cpg,55.78409015242703,-0.16275321097152232,500
0.5,11,multifunctional_rc_ae,115.44347693870418,0.11300175555085536,500
0.5,11,cpg,55.36469485714683,-0.18432702197079764,500
0.5,12,multifunctional_rc_ae,13.997759334283561,0.2544419570400966,500
0.5,12,cpg,55.61186160616904,-0.17177762148738368,500
0.5,13,multifunctional_rc_ae,186.41023548774618,-0.2448363453652942,500
0.5,13,cpg,65.61160722454987,0.329457316512203,500
0.5,14,multifunctional_rc_ae,1.3844198872866784,0.03598021496715993,500
0.5,14,cpg,61.95427606662873,0.14713296203457785,500
0.5,15,multifunctional_rc_ae,-129.28489277563887,-0.20194738710809398,500
0.5,15,cpg,58.75159984122377,-0.015077119768639114,500
0.5,16,multifunctional_rc_ae,-201.7789895961138,-0.19130789087819813,500
0.5,16,cpg,59.245345508475076,0.011445922514505033,500
0.5,17,multifunctional_rc_ae,-217.14487143056482,-0.15886697325792196,500
0.5,17,cpg,58.575616521873435,-0.022613535080385168,500
0.5,18,multifunctional_rc_ae,-9.020784656121013,0.058897600986632846,500
0.5,18,cpg,62.41521909919016,0.1693185180427163,500
0.5,19,multifunctional_rc_ae,-111.67140045001382,0.050440182420868646,500
0.5,19,cpg,61.61253643406494,0.1277376839631402,500
0.5,20,multifunctional_rc_ae,218.23845732233522,0.034316687521072066,500
0.5,20,cpg,58.920028481074546,-0.005997146459390305,500
1.0,1,multifunctional_rc_ae,-32.72621824202296,0.22598993029150302,500
1.0,1,cpg,207.6598834250175,4.730453500506135,500
1.0,2,multifunctional_rc_ae,234.32402223421087,0.07242264912591846,500
1.0,2,cpg,205.77635642092733,4.636115585677058,500
1.0,3,multifunctional_rc_ae,267.38922901745764,0.45619073908196184,500
1.0,3,cpg,186.47892369988097,3.67306164240448,500
1.0,4,multifunctional_rc_ae,123.08287610782133,0.1748911798304818,500
1.0,4,cpg,203.27087215118888,4.5121363364582745,500
1.0,5,multifunctional_rc_ae,174.20110820062388,0.05501586158119783,500
1.0,5,cpg,197.8095377644566,4.23901400890965,500
1.0,6,multifunctional_rc_ae,43.546835649946765,0.03124975886927345,500
1.0,6,cpg,200.5128032925526,4.374874331103116,500
1.0,7,multifunctional_rc_ae,26.41016353723153,-0.42888036932790086,500
1.0,7,cpg,196.21398069852404,4.159887649475954,500
1.0,8,multifunctional_rc_ae,172.6446344577851,0.1761486635661062,500
1.0,8,cpg,205.3663265716456,4.616060480148991,500
1.0,9,multifunctional_rc_ae,246.26403650458343,0.013742936697922497,500
1.0,9,cpg,192.2812690562543,3.9632670495742452,500
1.0,10,multifunctional_rc_ae,-51.25289474974536,-0.11404039237854505,500
1.0,10,cpg,187.20691073043028,3.709460857572611,500
1.0,11,multifunctional_rc_ae,73.15445992408074,-0.1847623038030478,500
1.0,11,cpg,198.8170122872051,4.288775065431828,500
1.0,12,multifunctional_rc_ae,263.3086580717794,0.22012741099488123,500
1.0,12,cpg,195.77840746635,4.13834352487512,500
1.0,13,multifunctional_rc_ae,-23.890749281134863,0.6253761139284024,500
1.0,13,cpg,207.23560245858278,4.709121060394752,500
1.0,14,multifunctional_rc_ae,30.238163369640656,-0.34378282174181557,500
1.0,14,cpg,195.99199418292542,4.147476643054363,500
1.0,15,multifunctional_rc_ae,252.52187058110107,0.5810852503621221,500
1.0,15,cpg,203.8318355944565,4.540785584382215,500
1.0,16,multifunctional_rc_ae,269.6760340053721,0.3190383883349678,500
1.0,16,cpg,202.98033081007327,4.496951759859066,500
1.0,17,multifunctional_rc_ae,175.88943212511018,-0.06900595484912439,500
1.0,17,cpg,210.83163769468462,4.888649773380508,500
1.0,18,multifunctional_rc_ae,186.5889908150329,-0.1361872612377062,500
1.0,18,cpg,203.8532269426376,4.540237759128822,500
1.0,19,multifunctional_rc_ae,30.31142151764546,-0.0196107649143151,500
1.0,19,cpg,195.74304972191712,4.134939329335419,500
1.0,20,multifunctional_rc_ae,263.62645794972843,0.233178632053779,500
1.0,20,cpg,209.27156466721712,4.811114152827007,500
1.5,1,multifunctional_rc_ae,175.34220987761202,0.015362025863378426,500
1.5,1,cpg,83.11830908487002,1.7252002436396852,500
1.5,2,multifunctional_rc_ae,-61.03066062240889,0.0009003000367982742,500
1.5,2,cpg,102.80280989083374,2.711446249814946,500
